season,player,pfr_id,tm,age,pos,g,gs,att,yds,td,x1d,ybc,ybc_att,yac,yac_att,brk_tkl,att_br,loaded
2022,Desmond Ridder,RiddDe00,ATL,23.0,QB,4.0,4.0,16.0,64.0,0.0,4.0,49.0,3.1,15.0,0.9,0.0,,2023-08-28
2022,Corey Clement,ClemCo00,ARI,28.0,RB,9.0,1.0,15.0,55.0,1.0,6.0,41.0,2.7,14.0,0.9,0.0,,2023-08-28
2022,Phillip Lindsay,LindPh00,IND,28.0,RB,3.0,0.0,15.0,49.0,0.0,1.0,30.0,2.0,19.0,1.3,0.0,,2023-08-28
2022,Trace McSorley,McSoTr00,ARI,27.0,QB,6.0,1.0,15.0,61.0,0.0,3.0,56.0,3.7,5.0,0.3,0.0,,2023-08-28
2022,Darrynton Evans,EvanDa02,CHI,24.0,RB,6.0,0.0,14.0,64.0,0.0,3.0,37.0,2.6,27.0,1.9,0.0,,2023-08-28
2022,Colt McCoy,McCoCo00,ARI,36.0,QB,4.0,3.0,14.0,36.0,0.0,5.0,16.0,1.1,20.0,1.4,1.0,14.0,2023-08-28
2022,Jarrett Stidham,StidJa00,LV,26.0,QB,5.0,2.0,14.0,84.0,0.0,7.0,79.0,5.6,5.0,0.4,0.0,,2023-08-28
2022,Skylar Thompson,ThomSk00,MIA,25.0,QB,7.0,2.0,14.0,21.0,0.0,1.0,20.0,1.4,1.0,0.1,0.0,,2023-08-28
2022,Larry Rountree,RounLa00,LAC,23.0,RB,4.0,0.0,13.0,19.0,0.0,0.0,9.0,0.7,10.0,0.8,0.0,,2023-08-28
2022,Steven Sims,SimsSt00,PIT,25.0,WR,12.0,2.0,13.0,70.0,0.0,5.0,65.0,5.0,5.0,0.4,0.0,,2023-08-28
2022,Matthew Stafford,StafMa00,LA,34.0,QB,9.0,9.0,13.0,9.0,1.0,3.0,3.0,0.2,6.0,0.5,1.0,13.0,2023-08-28
2022,Jordan Wilkins,WilkJo01,IND,28.0,RB,4.0,0.0,13.0,58.0,0.0,2.0,41.0,3.2,17.0,1.3,0.0,,2023-08-28
2022,Jamal Agnew,AgneJa00,JAX,27.0,WR,15.0,0.0,12.0,86.0,0.0,6.0,80.0,6.7,6.0,0.5,1.0,12.0,2023-08-28
2022,Salvon Ahmed,AhmeSa01,MIA,24.0,RB,12.0,0.0,12.0,64.0,1.0,4.0,37.0,3.1,27.0,2.3,1.0,12.0,2023-08-28
