Date_Time,Away_Team,Home_Team,Away_Score,Home_Score,Temperature,Weather_Condition
11/27/22 08:20 PM EST,Packers,Eagles,33,40,60 °F,Overcast
11/28/22 08:15 PM EST,Steelers,Colts,24,17,44 °F,Mostly Cloudy
12/01/22 08:15 PM EST,Bills,Patriots,24,10,36 °F,Clear
12/04/22 01:00 PM EST,Steelers,Falcons,19,16,56 °F,Mostly Cloudy
12/04/22 01:00 PM EST,Packers,Bears,28,19,31 °F,Clear
12/04/22 01:00 PM EST,Jaguars,Lions,14,40,32 °F,Clear
12/04/22 01:00 PM EST,Jets,Vikings,22,27,25 °F,Clear
12/04/22 01:00 PM EST,Washington,Giants,20,20,43 °F,Clear
12/04/22 01:00 PM EST,Titans,Eagles,10,35,44 °F,Clear
12/04/22 01:00 PM EST,Broncos,Ravens,9,10,43 °F,Clear
12/04/22 01:00 PM EST,Browns,Texans,27,14,65 °F,Mostly Cloudy
12/04/22 04:05 PM EST,Seahawks,Rams,27,23,64 °F,Overcast
12/04/22 04:05 PM EST,Dolphins,49ers,17,33,58 °F,Partly Cloudy
12/04/22 04:25 PM EST,Chiefs,Bengals,24,27,41 °F,Clear
12/04/22 04:25 PM EST,Chargers,Raiders,20,27,59 °F,Clear
12/04/22 08:20 PM EST,Colts,Cowboys,19,54,54 °F,Overcast
12/05/22 08:15 PM EST,Saints,Buccaneers,16,17,73 °F,Clear
12/08/22 08:15 PM EST,Raiders,Rams,16,17,59 °F,Clear
12/11/22 01:00 PM EST,Jets,Bills,12,20,34 °F,Overcast
12/11/22 01:00 PM EST,Browns,Bengals,10,23,44 °F,Mostly Cloudy
12/11/22 01:00 PM EST,Texans,Cowboys,23,27,54 °F,Mostly Cloudy
12/11/22 01:00 PM EST,Vikings,Lions,23,34,38 °F,Mostly Cloudy
12/11/22 01:00 PM EST,Jaguars,Titans,36,22,50 °F,Overcast
12/11/22 01:00 PM EST,Eagles,Giants,48,22,38 °F,Overcast
12/11/22 01:00 PM EST,Ravens,Steelers,16,14,43 °F,Overcast
12/11/22 04:05 PM EST,Dolphins,Chargers,17,23,59 °F,Overcast
12/11/22 04:25 PM EST,Buccaneers,49ers,7,35,52 °F,Mostly Cloudy
12/11/22 04:25 PM EST,Panthers,Seahawks,30,24,44 °F,Drizzle
12/11/22 08:20 PM EST,Chiefs,Broncos,34,28,56 °F,Foggy
12/12/22 08:15 PM EST,Patriots,Cardinals,27,13,55 °F,Mostly Cloudy
12/15/22 08:15 PM EST,49ers,Seahawks,21,13,39 °F,Clear
12/17/22 01:00 PM EST,Colts,Vikings,36,39,17 °F,Light Snow
12/17/22 04:30 PM EST,Ravens,Browns,3,13,33 °F,Overcast
12/17/22 08:15 PM EST,Dolphins,Bills,29,32,25 °F,Mostly Cloudy
12/18/22 01:00 PM EST,Falcons,Saints,18,21,49 °F,Clear
12/18/22 01:00 PM EST,Eagles,Bears,25,20,19 °F,Mostly Cloudy
12/18/22 01:00 PM EST,Steelers,Panthers,24,16,46 °F,Clear
12/18/22 01:00 PM EST,Cowboys,Jaguars,34,40,53 °F,Clear
12/18/22 01:00 PM EST,Chiefs,Texans,30,24,49 °F,Clear
12/18/22 02:00 PM EST,Lions,Jets,20,17,38 °F,Partly Cloudy
12/18/22 04:05 PM EST,Cardinals,Broncos,15,24,37 °F,Foggy
12/18/22 04:05 PM EST,Patriots,Raiders,24,30,46 °F,Clear
12/18/22 04:25 PM EST,Titans,Chargers,14,17,64 °F,Clear
12/18/22 04:25 PM EST,Bengals,Buccaneers,34,23,67 °F,Clear
12/18/22 08:20 PM EST,Giants,Washington,20,12,34 °F,Clear
12/19/22 08:15 PM EST,Rams,Packers,12,24,15 °F,Overcast
12/22/22 08:15 PM EST,Jaguars,Jets,19,3,43 °F,Overcast
12/24/22 01:00 PM EST,Bills,Bears,35,13,8 °F,Mostly Cloudy
12/24/22 01:00 PM EST,Saints,Browns,17,10,5 °F,Overcast
12/24/22 01:00 PM EST,Texans,Titans,19,14,15 °F,Partly Cloudy
12/24/22 01:00 PM EST,Seahawks,Chiefs,10,24,10 °F,Clear
12/24/22 01:00 PM EST,Giants,Vikings,24,27,0 °F,Partly Cloudy
12/24/22 01:00 PM EST,Bengals,Patriots,22,18,15 °F,Clear
12/24/22 01:00 PM EST,Lions,Panthers,23,37,19 °F,Clear
12/24/22 01:00 PM EST,Falcons,Ravens,9,17,16 °F,Partly Cloudy
12/24/22 04:05 PM EST,Washington,49ers,20,37,57 °F,Partly Cloudy
12/24/22 04:25 PM EST,Eagles,Cowboys,34,40,35 °F,Clear
12/24/22 08:15 PM EST,Raiders,Steelers,10,13,10 °F,Overcast
12/25/22 01:00 PM EST,Packers,Dolphins,26,20,45 °F,Overcast
12/25/22 04:30 PM EST,Broncos,Rams,14,51,80 °F,Clear
12/25/22 08:20 PM EST,Buccaneers,Cardinals,19,16,70 °F,Clear
12/26/22 08:15 PM EST,Chargers,Colts,20,3,21 °F,Overcast
12/29/22 08:15 PM EST,Cowboys,Titans,27,13,56 °F,Partly Cloudy
01/01/23 01:00 PM EST,Cardinals,Falcons,19,20,60 °F,Mostly Cloudy
01/01/23 01:00 PM EST,Bears,Lions,10,41,37 °F,Overcast
01/01/23 01:00 PM EST,Broncos,Chiefs,24,27,45 °F,Mostly Cloudy
01/01/23 01:00 PM EST,Dolphins,Patriots,21,23,49 °F,Partly Cloudy
01/01/23 01:00 PM EST,Colts,Giants,10,38,51 °F,Clear
01/01/23 01:00 PM EST,Saints,Eagles,20,10,52 °F,Clear
01/01/23 01:00 PM EST,Panthers,Buccaneers,24,30,73 °F,Overcast
01/01/23 01:00 PM EST,Browns,Washington,24,10,57 °F,Clear
01/01/23 01:00 PM EST,Steelers,Ravens,16,13,60 °F,Clear
01/01/23 01:00 PM EST,Jaguars,Texans,31,3,70 °F,Overcast
01/01/23 04:05 PM EST,49ers,Raiders,37,34,54 °F,Partly Cloudy
01/01/23 04:05 PM EST,Jets,Seahawks,6,23,46 °F,Overcast
01/01/23 04:25 PM EST,Vikings,Packers,17,41,37 °F,Mostly Cloudy
01/01/23 08:20 PM EST,Rams,Chargers,10,31,59 °F,Partly Cloudy
01/02/23 08:30 PM EST,Bills,Bengals,3,7,57 °F,Overcast
01/07/23 04:30 PM EST,Chiefs,Raiders,31,13,51 °F,Mostly Cloudy
01/07/23 08:15 PM EST,Titans,Jaguars,16,20,58 °F,Clear
01/08/23 01:00 PM EST,Buccaneers,Falcons,17,30,57 °F,Overcast
01/08/23 01:00 PM EST,Patriots,Bills,23,35,28 °F,Mostly Cloudy
01/08/23 01:00 PM EST,Vikings,Bears,29,13,31 °F,Mostly Cloudy
01/08/23 01:00 PM EST,Ravens,Bengals,16,27,37 °F,Overcast
01/08/23 01:00 PM EST,Texans,Colts,32,31,34 °F,Overcast
01/08/23 01:00 PM EST,Jets,Dolphins,6,11,77 °F,Partly Cloudy
01/08/23 01:00 PM EST,Panthers,Saints,10,7,62 °F,Rain
01/08/23 01:00 PM EST,Browns,Steelers,14,28,36 °F,Mostly Cloudy
01/08/23 04:25 PM EST,Chargers,Broncos,28,31,51 °F,Foggy
01/08/23 04:25 PM EST,Giants,Eagles,16,22,42 °F,Mostly Cloudy
01/08/23 04:25 PM EST,Cardinals,49ers,13,38,61 °F,Mostly Cloudy
01/08/23 04:25 PM EST,Rams,Seahawks,16,19,47 °F,Rain
01/08/23 04:25 PM EST,Cowboys,Washington,6,26,41 °F,Overcast
01/08/23 08:20 PM EST,Lions,Packers,20,16,23 °F,Mostly Cloudy
01/20/24 04:30 PM EST,Texans,Ravens,10,34,27 °F,Mostly Cloudy
01/20/24 08:15 PM EST,Packers,49ers,21,24,58 °F,Rain
01/21/24 03:00 PM EST,Buccaneers,Lions,23,31,26 °F,Clear
01/21/24 06:30 PM EST,Chiefs,Bills,27,24,25 °F,Mostly Cloudy
01/20/24 04:30 PM EST,Texans,Ravens,10,34,27 °F,Mostly Cloudy
01/20/24 08:15 PM EST,Packers,49ers,21,24,58 °F,Rain
01/21/24 03:00 PM EST,Buccaneers,Lions,23,31,26 °F,Clear
01/21/24 06:30 PM EST,Chiefs,Bills,27,24,25 °F,Mostly Cloudy
01/20/24 04:30 PM EST,Texans,Ravens,10,34,27 °F,Mostly Cloudy
01/20/24 08:15 PM EST,Packers,49ers,21,24,58 °F,Rain
01/21/24 03:00 PM EST,Buccaneers,Lions,23,31,26 °F,Clear
01/21/24 06:30 PM EST,Chiefs,Bills,27,24,25 °F,Mostly Cloudy
